nyt_id,review_word_count,author_as_listed,assumed_gender,headline,nyt_pdf_endpoint
4fc045fd45c1498b0d2163c4,293,"Edward S. Ellis, A.M.",m,"Bacon's Rebellion.; THE CROMWELL OF VIRGINIA. A Story of Bacon's Rebellion. By Edward S. Ellis, A.M., Author of ""An American King."" 12mo. Pp. 380. Philadelphia: Henry T. Coates & Co. $1.",https://query.nytimes.com/gst/abstract.html?res=9A03E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163cd,655,G.E. Mitton,none,"Autobiography of a Dog.; THE DOG. By G.E. Mitton, Author of ""The Children's Book of London,"" &c. Third of a Series of Animal Biographies. 8vo. Pp. vi.-20s. New York: The Macmillan Company. $2.",https://query.nytimes.com/gst/abstract.html?res=9503E2DB1738EF32A25752C2A9679C946497D6CF
4fc0471145c1498b0d21b251,1010,"Thomas Dixon, Jr.",m,"Thomas Dixon, Jr.'s, New Story of Life in the Southern States in the Reconstruction Period.*",https://query.nytimes.com/gst/abstract.html?res=9B04E2DB1738EF32A25752C2A9679C946497D6CF
4fc0499e45c1498b0d226cfd,431,H. Valentine Geere,m,"Babylonian Researches.; BY NILE AND EUPHRATES, A RECORD OF DISCOVERY AND ADVENTURE. By H. Valentine Geere. With Maps and Illustrations. Cloth. Decorated Cover. Pp. 355. New York: Imported by Charles Scribner's Sons. $3.50.",https://query.nytimes.com/gst/abstract.html?res=9C06E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87b9,631,A. Cecil Carter,none,"FACTS ABOUT SIAM.; THE KINGDOM OF SIAM. Edited by A. Cecil Carter. Illustrated. Cloth, Decorated Cover. Pp. 280. New York: G.P. Putnam's Sons. $2.",https://query.nytimes.com/gst/abstract.html?res=9807E2DB1738EF32A25752C2A9679C946497D6CF
4fc0471145c1498b0d21b24c,453,Charles A. Eastman,m,"As the Red Man Saw Them.; RED HUNTERS AND THE ANIMAL PEOPLE. By Charles A. Eastman. (Olnyesha,) Author of ""Indian Boyhood."" 12mo. Pp. 248. New York: Harper & Brothers. $1.25.",https://query.nytimes.com/gst/abstract.html?res=9B07E2DB1738EF32A25752C2A9679C946497D6CF
4fc0471145c1498b0d21b252,2123,SIR LESLIE STEPHEN,m,HOURS IN A LIBRARY.; THE NEW EDITION OF THE COLLECTED LITERARY ESSAYS BY THE LATE SIR LESLIE STEPHEN.*,https://query.nytimes.com/gst/abstract.html?res=9404E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87c6,440,Anna Katherine Greene,f,A DETECTIVE STORY.,https://query.nytimes.com/gst/abstract.html?res=9F01E2DB1738EF32A25752C2A9679C946497D6CF
4fc0471145c1498b0d21b24e,312,William T. Hodge.,m,"A Rustic Hamlet.; EIGHTEEN MILES FROM HOME. By William T. Hodge. 16mo. Pp. 230. Boston: Small, Maynard & Co.",https://query.nytimes.com/gst/abstract.html?res=9A02E2DB1738EF32A25752C2A9679C946497D6CF
4fc047fa45c1498b0d22004c,660,"Reuben Gold Thwaites, LL. D.",m,"Settlement of Illinois.; EARLY WESTERN TRAVELS, 1748-1846. Edited, with Notes. Introductions, Indexes, &c., by Reuben Gold Thwaites, LL. D. Volume X. Cloth. Pp. 357. Cleveland, Ohio: The Arthur H. Clark Company.",https://query.nytimes.com/gst/abstract.html?res=9C07E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87be,645,Ellis Paxon Oberholtzer. Ph.D.,m,"LINCOLN.; ABRAHAM LINCOLN. By Ellis Paxon Oberholtzer. Ph.D., Author of ""Robert Morris. Patriot and Financier,"" ""The Referendum in America,"" &c. American Crisis Biographies, 12mo. Pp. 389. Philadelphia: George W. Jacobs & Co. $1.25.",https://query.nytimes.com/gst/abstract.html?res=9D07E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87bd,256,Ruth McEnery Stuart,f,"By the Mississippi River.; THE RIVER'S CHILDREN. An Idyl of the Mississippi. By Ruth McEnery Stuart, Author of ""Sonny,"" &c. With Pictures by Harry C. Edwards. 16mo. Pp. 179. New York: The Century Company. $1.",https://query.nytimes.com/gst/abstract.html?res=9F02E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87c3,484,Multatuli. (Eduard Douwes Dekker.) ,m,"A DUTCH BOY.; WALTER PIETERSE. A Story of Holland. By Multatuli. (Eduard Douwes Dekker.) Translated by Hubert Evans, Ph.D. 12mo. Pp. 503. New York: Friderici & Garels.",https://query.nytimes.com/gst/abstract.html?res=9B06E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87cb,355,Berthe Julienne Low,f,"THE GOOD COOK.; FRENCH HOME COOKING. Adapted to the Use of American Households. By Berthe Julienne Low. Fully Illustrated. Cloth. Pp. 332. New York; McClure, Phillips & Co.",https://query.nytimes.com/gst/abstract.html?res=9A04E2DB1738EF32A25752C2A9679C946497D6CF
4fc047fa45c1498b0d220056,258,Alexander Kielland translated by Rebecca Blair Flandrau,dual,Norse High Finance.; PROFESSOR LOVDAHL. Translated from the Norwegian of Alexander Kielland by Rebecca Blair Flandrau. 12mo. Pp. 296. Boston: Herbert B. Turner & Co. $1.25.,https://query.nytimes.com/gst/abstract.html?res=9E07E2DB1738EF32A25752C2A9679C946497D6CF
4fc03b9345c1498b0d1e87c1,427,Henry Carrington Bolton.,m,The Alchemists.; THE FOLLIES OF SCIENCE AT THE COURT OF RUDOLPH II. 1576-1612. By Henry Carrington Bolton. 8vo. Pp. 217. Milwaukee: Pharmaceutical Review Publishing Company.,https://query.nytimes.com/gst/abstract.html?res=9A06E2DB1738EF32A25752C2A9679C946497D6CF
4fc0499e45c1498b0d226d01,1725,Hugo Ganz,m,"RUSSIA.; Wolf von Schierbrand Reviews. ""The Land of Riddles,"" by Hugo Ganz.*",https://query.nytimes.com/gst/abstract.html?res=9F07E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163ca,1359,Prof. L.C. Miall,m,"Prof. L.C. Miall's Essays on ""House, Garden, and Field.""*",https://query.nytimes.com/gst/abstract.html?res=9507E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163bc,373,Thomas Fleming Day,m,"Yachting.; HINTS TO YOUNG YACHT SKIPPERS. By Thomas Fleming Day, Editor The Rud- der, Author of ""On Yachts and Yacht Handling,"" ""Song of Sea and Sail."" &d. Illustrations by Warren Sheppard. 12mo. Cloth. Pp. 122. New York: The Rudder Publishing Company. $1.",https://query.nytimes.com/gst/abstract.html?res=9F06E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163cb,568,G.M.A. Hewett.,m,Memoirs of a Rat.; THE RAT. By G.M.A. Hewett. Animal Autobiographies. With Illustrations in Colors by Stephen Baghot de la Bere. Square 8vo. Pp. 24S. New York: The Macmillan Company.,https://query.nytimes.com/gst/abstract.html?res=9C02E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163cc,593,D.C. Angus.,m,"YOUNG JAPAN.; JAPAN. The Eastern Wonderland. By D.C. Angus. Illustrated. Cloth. Decorated Cover. Pp. 210. New York: Cassell & Co., Limited. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9B02E2DB1738EF32A25752C2A9679C946497D6CF
4fc047fb45c1498b0d22009f,398,A.W. Flux,m,"""Economic Principles.""",https://query.nytimes.com/gst/abstract.html?res=9D0CE6DE1F3BE631A2575BC2A9679C946497D6CF
4fc054cf45c1498b0d258c95,1227,Lady Russell,f,"GRAND LADIES.; Lady Russell's Book About ""Three Generations of Fascinating Women.""*",https://query.nytimes.com/gst/abstract.html?res=9907E5DE1F3BE631A2575BC2A9679C946497D6CF
4fc054cf45c1498b0d258c9e,476,S.R. Crockett,m,Scott for Children.; RED CAP TALES. Stolen from the Treasure Chest of the Wizard of the North. Which Theft Is Humbly Acknowledged by S.R. Crockett. Illustrated in Colors. 12mo. Pp. 411. New York: The Macmillan Company. $2.,https://query.nytimes.com/gst/abstract.html?res=9B0DE6DE1F3BE631A2575BC2A9679C946497D6CF
4fc0471145c1498b0d21b280,472,George S. Roberts,m,"A MOHAWK TOWN.; OLD SCHENECTADY. By George S. Roberts. With Illustrations and Sketch Maps. Cloth, 12mo. Pp. 296. Schenectady, N.Y.: Robson & Adee.",https://query.nytimes.com/gst/abstract.html?res=9804E5DE1F3BE631A2575BC2A9679C946497D6CF
4fc047fb45c1498b0d2200a6,371,Prof. Samuel Dill,m,Early Roman Society.,https://query.nytimes.com/gst/abstract.html?res=9E07E5DE1F3BE631A2575BC2A9679C946497D6CF
4fc0528045c1498b0d24e578,1253,Ethel M. Hogg,f,"QUINTIN HOGG.; A New Biography of the Famous Philanthropist, with an Introduction by the Duke of Argyll.",https://query.nytimes.com/gst/abstract.html?res=940DE6DE1F3BE631A2575BC2A9679C946497D6CF
4fc047fb45c1498b0d2200a5,320,Stephen Gwynn,m,Thomas Moore.,https://query.nytimes.com/gst/abstract.html?res=9E04E5DE1F3BE631A2575BC2A9679C946497D6CF
4fc045fd45c1498b0d2164dc,1330,M. de la Colonie,m,Memoirs of a French Cavalry Officer of the Time of Prince Eugene.,https://query.nytimes.com/gst/abstract.html?res=9407E1DE1F3BE631A25757C0A9649C946497D6CF
4fc045fd45c1498b0d2164cf,574,F.F. Montressor,none,"The Yellow House.; THE CELESTIAL SURGEON By F.F. Montressor, Author of ""The Alien,"" ""At the Cross Roads,"" ""Into the Highways and Hedges,"" &c. Cloth. 12mo. Pp. 375. New York: Longmans, Green & Co.",https://query.nytimes.com/gst/abstract.html?res=9A07E1DE1F3BE631A25757C0A9649C946497D6CF
4fc0520845c1498b0d24b81c,529,W.B. Maxwell ,none,"The Millionaire Parson.; THE RAGGED MESSENGER. By W.B. Maxwell 12mo. Pp. 384. New York: G.P. Putnam's Sons, The Knickerbocker Press.",https://query.nytimes.com/gst/abstract.html?res=9807E1DE1F3BE631A25757C0A9649C946497D6CF
4fc03b9345c1498b0d1e88bc,434,Fred Whishaw,m,"In the Tiger's Cage.; THE TIGER OF MUSCOVY. By Fred Whishaw, Author of ""Lovers at Fault."" ""A Boyar of the Terrible,"" &c. 12mo. Pp. 332. New York: Longmans, Green & Co. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9907E1DE1F3BE631A25757C0A9649C946497D6CF
4fc0532945c1498b0d250f66,318,Robert Waters,m,Hoboken Academy.,https://query.nytimes.com/gst/abstract.html?res=9D06E1DE1F3BE631A25757C0A9649C946497D6CF
4fc03b9345c1498b0d1e88bb,1394,Aylmer Maude,none,Aylmer Maude's Story of the Development of a Peculiar Russian Sect.*,https://query.nytimes.com/gst/abstract.html?res=9C07E1DE1F3BE631A25757C0A9649C946497D6CF
4fc0528045c1498b0d24e5a2,1712,Sir Rennell Rodd,m,SIR WALTER RALEIGH.; A New Biography of the Gallant Gentleman of the Elizabethan Era by Sir Rennell Rodd.,https://query.nytimes.com/gst/abstract.html?res=9404E1DE1F3BE631A25757C0A9649C946497D6CF
4fc045fe45c1498b0d2164e3,715,"Aubrey Beardsley, Rev. John Gray",dual,"AUBREY BEARDSLEY.; LAST LETTERS OF AUBREY BEARDSLEY. With an Introductory Note by the Rev. John Gray. 12mo. Pp. 153. New York: Longmans, Green & Co.",https://query.nytimes.com/gst/abstract.html?res=9B04E1DE1F3BE631A25757C0A9649C946497D6CF
4fc045fd45c1498b0d2164d0,421,Randall Parrish,m,"Across the Lines.; MY LADY OF THE NORTH. The Love Story of a Gray-Jacket. By Randall Parrish, Author of ""When Wilderness Was King."" 12mo. Pp. 362. Chicago: A.C. McClurg & Co. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9902E1DE1F3BE631A25757C0A9649C946497D6CF
