,lemma,word,pos,count,wordnet_senses
367,present,presents,NOUN,46,3
368,present,presenting,VERB,64,13
369,japanese,japanese,ADJ,227,1
370,japanese,japanese,NOUN,45,2
371,japanese,japanese,PROPN,5,0
372,fr,fr,NOUN,80,1
373,fr,fr,INTJ,93,0
374,fr,fr,ADP,18,0
375,fr,fr,X,10,0
376,fr,frest,ADJ,1,0
377,fr,fr,VERB,3,0
378,fr,fr,PROPN,9,0
379,fr,fr,ADJ,1,0
380,scientific,scientific,ADJ,368,2
381,scientific,scientific,NOUN,1,0
382,science,science,NOUN,517,2
383,science,sciences,NOUN,38,2
384,science,sciences,VERB,3,0
385,science,science,ADJ,1,0
386,united,united,ADJ,823,1
387,battle,battle,NOUN,333,3
388,battle,battles,NOUN,93,3
389,battle,battle,VERB,3,1
390,battle,battled,VERB,5,1
391,battle,battling,VERB,5,1
392,drama,drama,NOUN,375,4
393,drama,dramas,NOUN,23,4
394,drama,drama,VERB,2,0
395,second,second,ADJ,807,1
396,second,second,NOUN,31,10
397,second,second,ADV,20,1
398,second,second,PUNCT,7,0
399,second,seconds,NOUN,8,10
400,second,seconded,VERB,5,2
401,second,second,VERB,2,2
402,second,seconding,VERB,1,2
403,mile,miles,NOUN,247,8
404,mile,mile,NOUN,63,8
405,mile,mile,VERB,1,0
